ar,bn,en,es,fr,hi,ja,ko,pa,pt,ru,tr,uk,vi,zh
جراح تجميل,কসমেটিক সার্জন,Cosmetic Surgeon,Cirujano(a) Estético(a),Chirurgien esthétique,कॉस्मेटिक सर्जन,美容外科医,성형외과 의사,ਕਾਸਮੈਟਿਕ ਸਰਜਨ,Cirurgião(ã) Estético(a),Косметический хирург,Estetik Cerrah,Косметичний хірург,Bác sĩ phẫu thuật thẩm mỹ,美容外科医生
جراح عام,জেনারেল সার্জন,General Surgeon,Cirujano(a) General,Chirurgien général,जनरल सर्जन,一般外科医,일반외과 의사,ਜਨਰਲ ਸਰਜਨ,Cirurgião(ã) Geral,Хирург общей практики,Genel Cerrah,Загальний хірург,Bác sĩ phẫu thuật tổng quát,普通外科医生
جراح الوجه والفكين,ম্যাক্সিলোফেসিয়াল সার্জন,Maxillofacial Surgeon,Cirujano(a) Maxilofacial,Chirurgien maxillo-facial,मैक्सिलोफेशियल सर्जन,顎顔面外科医,구강악안면외과 의사,ਮੈਕਸੀਲੋਫੇਸ਼ੀਅਲ ਸਰਜਨ,Cirurgião(ã) Bucomaxilofacial,Челюстно-лицевой хирург,Çene Cerrahı,Щелепно-лицевий хірург,Bác sĩ phẫu thuật hàm mặt,口腔颌面外科医生
جراح العيون,চক্ষু সার্জন,Ophthalmic Surgeon,Cirujano(a) Oftalmológico(a),Chirurgien ophtalmologiste,नेत्र शल्य चिकित्सक,眼科外科医,안과수술 의사,ਅੱਖਾਂ ਦਾ ਸਰਜਨ,Cirurgião(ã) Oftalmológico(a),Офтальмохирург,Oftalmik Cerrah,Офтальмохірург,Bác sĩ phẫu thuật mắt,眼外科医生
جراح الفم,ওরাল সার্জন,Oral Surgeon,Cirujano(a) Oral,Chirurgien-dentiste,ओरल सर्जन,口腔外科医,구강외과 의사,ਮੂੰਹ ਦਾ ਸਰਜਨ,Cirurgião(ã) Oral,Челюстно-лицевой хирург,Ağız ve Diş Cerrahı,Хірург-стоматолог,Bác sĩ phẫu thuật miệng,口腔外科医生
جراح عظام الأطفال,পেডিয়াট্রিক অর্থোপেডিক সার্জন,Pediatric Orthopedic Surgeon,Cirujano(a) Ortopédico(a) Pediátrico(a),Chirurgien orthopédiste pédiatrique,बाल चिकित्सा आर्थोपेडिक सर्जन,小児整形外科医,소아정형외과 의사,ਬੱਚਿਆਂ ਦਾ ਹੱਡੀਆਂ ਦਾ ਸਰਜਨ,Cirurgião(ã) Ortopédico(a) Pediátrico(a),Детский ортопед-травматолог,Pediatrik Ortopedi Cerrahı,Дитячий хірург-ортопед,Bác sĩ phẫu thuật chỉnh hình nhi,小儿骨科医生
جراح تجميل (Plastic Surgeon),প্লাস্টিক সার্জন,Plastic Surgeon,Cirujano(a) Plástico(a),Chirurgien plasticien,प्लास्टिक सर्जन,形成外科医,성형외과 의사,ਪਲਾਸਟਿਕ ਸਰਜਨ,Cirurgião(ã) Plástico(a),Пластический хирург,Plastik Cerrah,Пластичний хірург,Bác sĩ phẫu thuật tạo hình,整形外科医生
جراح أطفال,পেডিয়াট্রিক সার্জন,Pediatric Surgeon,Cirujano(a) Pediátrico(a),Chirurgien pédiatrique,बाल शल्य चिकित्सक,小児外科医,소아외과 의사,ਬੱਚਿਆਂ ਦਾ ਸਰਜਨ,Cirurgião(ã) Pediátrico(a),Детский хирург,Çocuk Cerrahı,Дитячий хірург,Bác sĩ phẫu thuật nhi,小儿外科医生
جراح روبوتي,রোবোটিক সার্জন,Robotic Surgeon,Cirujano(a) Robótico(a),Chirurgien robotique,रोबोटिक सर्जन,ロボット手術外科医,로봇수술 외과 의사,ਰੋਬੋਟਿਕ ਸਰਜਨ,Cirurgião(ã) Robótico(a),Роботизированный хирург,Robotik Cerrah,Роботизований хірург,Bác sĩ phẫu thuật robot,机器人手术医生
جراح الصدر,থোরাসিক সার্জন,Thoracic Surgeon,Cirujano(a) Torácico(a),Chirurgien thoracique,थोरेसिक सर्जन,胸部外科医,흉부외과 의사,ਛਾਤੀ ਦਾ ਸਰਜਨ,Cirurgião(ã) Torácico(a),Торакальный хирург,Göğüs Cerrahı,Торакальний хірург,Bác sĩ phẫu thuật lồng ngực,胸外科医生
جراح الأوعية الدموية,ভাস্কুলার সার্জন,Vascular Surgeon,Cirujano(a) Vascular,Chirurgien vasculaire,वस्कुलर सर्जन,血管外科医,혈관외과 의사,ਨਾੜੀ ਦਾ ਸਰਜਨ,Cirurgião(ã) Vascular,Сосудистый хирург,Damar Cerrahı,Судинний хірург,Bác sĩ phẫu thuật mạch máu,血管外科医生
طبيب أسنان وجراح,ডেন্টিস্ট-সার্জন,Dentist-Surgeon,Dentista-Cirujano(a),Chirurgien-dentiste,दंत चिकित्सक-सर्जन,歯科口腔外科医,구강악안면외과 의사,ਦੰਦਾਂ ਦਾ ਸਰਜਨ,Cirurgião(ã)-Dentista,Стоматолог-хирург,Diş Hekimi-Cerrah,Хірург-стоматолог,Bác sĩ nha khoa - phẫu thuật,口腔外科牙医
مدرب الصحة العقلية,মানসিক স্বাস্থ্য কোচ,Mental Health Coach,Coach de Salud Mental,Coach en santé mentale,मानसिक स्वास्थ्य कोच,メンタルヘルスコーチ,정신건강 코치,ਮਾਨਸਿਕ ਸਿਹਤ ਕੋਚ,Coach de Saúde Mental,Коуч по психическому здоровью,Ruh Sağlığı Koçu,Тренер з психічного здоров'я,Huấn luyện viên sức khỏe tâm thần,心理健康教练
سائق سيارة إسعاف,অ্যাম্বুলেন্স চালক,Ambulance Driver,Conductor(a) de Ambulancia,Conducteur d'ambulance,एम्बुलेंस चालक,救急車運転手,구급차 운전기사,ਐਂਬੂਲੈਂਸ ਡਰਾਈਵਰ,Motorista de Ambulância,Водитель скорой помощи,Ambulans Şoförü,Водій швидкої допомоги,Tài xế xe cứu thương,救护车司机
مستشار وراثي,জেনেটিক কাউন্সেলর,Genetic Counselor,Consejero(a) Genético(a),Conseiller en génétique,जेनेटिक काउंसलर,遺伝カウンセラー,유전 상담사,ਜੈਨੇਟਿਕ ਸਲਾਹਕਾਰ,Conselheiro(a) Genético(a),Генетический консультант,Genetik Danışman,Генетичний консультант,Tư vấn di truyền,遗传咨询师
مستشار التغذية,পুষ্টি কাউন্সেলর,Nutrition Counselor,Consejero(a) Nutricional,Conseiller en nutrition,पोषण परामर्शदाता,栄養カウンセラー,영양 상담사,ਪੋਸ਼ਣ ਸਲਾਹਕਾਰ,Conselheiro(a) Nutricional,Консультант по питанию,Beslenme Danışmanı,Консультант з харчування,Tư vấn dinh dưỡng,营养咨询师
مستشار الصحة العقلية,মানসিক স্বাস্থ্য কাউন্সেলর,Mental Health Counselor,Consejero(a) de Salud Mental,Conseiller en santé mentale,मानसिक स्वास्थ्य परामर्शदाता,メンタルヘルスカウンセラー,정신건강 상담사,ਮਾਨਸਿਕ ਸਿਹਤ ਸਲਾਹਕਾਰ,Conselheiro(a) de Saúde Mental,Консультант по психическому здоровью,Ruh Sağlığı Danışmanı,Консультант з психічного здоров'я,Tư vấn sức khỏe tâm thần,心理健康咨询师
مستشار منظمة الرعاية,কেয়ার অর্গানাইজেশন কনসালটেন্ট,Care Organization Consultant,Consultor(a) en Organización de la Atención,Consultant en organisation de soins,देखभाल संगठन सलाहकार,ケア組織コンサルタント,의료서비스 조직 컨설턴트,ਦੇਖਭਾਲ ਸੰਗਠਨ ਸਲਾਹਕਾਰ,Consultor(a) de Organização de Cuidados,Консультант по организации ухода,Bakım Organizasyonu Danışmanı,Консультант з організації догляду,Tư vấn tổ chức chăm sóc,护理组织顾问
مراقب إدارة المستشفى,হাসপাতাল ব্যবস্থাপনা নিয়ন্ত্রক,Hospital Management Controller,Controlador(a) de Gestión Hospitalaria,Contrôleur de gestion hospitalier,अस्पताल प्रबंधन नियंत्रक,病院経営コントローラー,병원 경영 관리자,ਹਸਪਤਾਲ ਪ੍ਰਬੰਧਨ ਕੰਟਰੋਲਰ,Controlador(a) de Gestão Hospitalar,Контролёр больничного управления,Hastane Yönetim Denetçisi,Контролер з управління лікарнею,Kiểm soát viên quản lý bệnh viện,医院管理总监
منسق زراعة الأعضاء,ট্রান্সপ্লান্ট সমন্বয়কারী,Transplant Coordinator,Coordinador(a) de Trasplantes,Coordonnateur de transplantation,प्रत्यारोपण समन्वयक,移植コーディネーター,장기이식 코디네이터,ਟ੍ਰਾਂਸਪਲਾਂਟ ਤਾਲਮੇਲਕ,Coordenador(a) de Transplante,Координатор по трансплантации,Nakil Koordinatörü,Координатор з трансплантації,Điều phối viên cấy ghép,移植协调员
منسق الشؤون الإدارية الصحية,স্বাস্থ্য প্রশাসনিক সমন্বয়কারী,Health Administrative Coordinator,Coordinador(a) Administrativo(a) de Salud,Coordonnateur administratif de la santé,स्वास्थ्य प्रशासनिक समन्वयक,医療事務コーディネーター,보건행정 코디네이터,ਸਿਹਤ ਪ੍ਰਸ਼ਾਸਨਿਕ ਤਾਲਮੇਲਕ,Coordenador(a) Administrativo(a) de Saúde,Административный координатор в здравоохранении,Sağlık İdari Koordinatörü,Адміністративний координатор у сфері охорони здоров'я,Điều phối viên hành chính y tế,卫生行政协调员
منسق التغطية التأمينية المتبادلة,মিউচুয়াল ইন্স্যুরেন্স কভারেজের জন্য সমন্বয়কারী,Coordinator for Mutual Insurance Coverage,Coordinador(a) de Cobertura de Seguros Mutuos,Coordonnateur de la couverture mutuelle d'assurance,पारस्परिक बीमा कवरेज के लिए समन्वयक,共済保険適用コーディネーター,공제조합 보험 코디네이터,ਆਪਸੀ ਬੀਮਾ ਕਵਰੇਜ ਲਈ ਤਾਲਮੇਲਕ,Coordenador(a) de Cobertura de Seguros Mútuos,Координатор по вопросам взаимного страхования,Karşılıklı Sigorta Kapsam Koordinatörü,Координатор із взаємного страхування,Điều phối viên bảo hiểm y tế,互助保险协调员
منسق التجارب السريرية,ক্লিনিকাল ট্রায়াল সমন্বয়কারী,Clinical Trials Coordinator,Coordinador(a) de Ensayos Clínicos,Coordonnateur des essais cliniques,क्लिनिकल परीक्षण समन्वयक,臨床試験コーディネーター,임상시험 코디네이터,ਕਲੀਨਿਕਲ ਟਰਾਇਲ ਤਾਲਮੇਲਕ,Coordenador(a) de Ensaios Clínicos,Координатор клинических исследований,Klinik Araştırmalar Koordinatörü,Координатор клінічних досліджень,Điều phối viên thử nghiệm lâm sàng,临床试验协调员
منسق المؤسسة الصحية,স্বাস্থ্য প্রতিষ্ঠান সমন্বয়কারী,Health Institution Coordinator,Coordinador(a) de Instituciones de Salud,Coordonnateur d'établissement de santé,स्वास्थ्य संस्थान समन्वयक,医療機関コーディネーター,의료기관 코디네이터,ਸਿਹਤ ਸੰਸਥਾ ਤਾਲਮੇਲਕ,Coordenador(a) de Instituição de Saúde,Координатор медицинского учреждения,Sağlık Kurumu Koordinatörü,Координатор закладу охорони здоров'я,Điều phối viên cơ sở y tế,医疗机构协调员
منسق مسار الرعاية,কেয়ার পাথওয়ে সমন্বয়কারী,Care Pathway Coordinator,Coordinador(a) de Rutas Asistenciales,Coordonnateur du parcours de soins,केयर पाथवे समन्वयक,ケアパスコーディネーター,진료 경로 코디네이터,ਦੇਖਭਾਲ ਮਾਰਗ ਤਾਲਮੇਲਕ,Coordenador(a) de Linhas de Cuidado,Координатор лечебного процесса,Bakım Yolu Koordinatörü,Координатор маршруту пацієнта,Điều phối viên lộ trình chăm sóc,护理路径协调员
منسق الخروج,ডিসচার্জ সমন্বয়কারী,Discharge Coordinator,Coordinador(a) de Altas,Coordonnateur des sorties,डिस्चार्ज समन्वयक,退院コーディネーター,퇴원 코디네이터,ਡਿਸਚਾਰਜ ਤਾਲਮੇਲਕ,Coordenador(a) de Alta Hospitalar,Координатор по выписке пациентов,Taburcu Koordinatörü,Координатор з виписки,Điều phối viên xuất viện,出院协调员
منسق طبي اجتماعي,চিকিৎসা-সামাজিক সমন্বয়কারী,Medical-Social Coordinator,Coordinador(a) Médico-Social,Coordonnatrice médico-sociale,चिकित्सा-सामाजिक समन्वयक,医療・福祉コーディネーター,의료사회사업 코디네이터,ਮੈਡੀਕਲ-ਸਮਾਜਿਕ ਤਾਲਮੇਲਕ,Coordenador(a) Médico-Social,Медико-социальный координатор,Tıbbi-Sosyal Koordinatör,Медико-соціальний координатор,Điều phối viên y tế - xã hội,医务社工协调员
منسق الطب عن بعد,টেলিমেডিসিন সমন্বয়কারী,Telemedicine Coordinator,Coordinador(a) de Telemedicina,Coordonnateur de télémédecine,टेलीमेडिसिन समन्वयक,遠隔医療コーディネーター,원격의료 코디네이터,ਟੈਲੀਮੈਡੀਸਨ ਤਾਲਮੇਲਕ,Coordenador(a) de Telemedicina,Координатор по телемедицине,Teletıp Koordinatörü,Координатор з телемедицини,Điều phối viên y tế từ xa,远程医疗协调员
منسق الطوارئ الطبية,জরুরী চিকিৎসা সমন্বয়কারী,Emergency Medical Coordinator,Coordinador(a) Médico(a) de Emergencias,Coordonnateur médical d'urgence,आपातकालीन चिकित्सा समन्वयक,救急医療コーディネーター,응급의료 코디네이터,ਐਮਰਜੈਂਸੀ ਮੈਡੀਕਲ ਤਾਲਮੇਲਕ,Coordenador(a) Médico(a) de Emergência,Координатор скорой медицинской помощи,Acil Tıp Koordinatörü,Координатор екстреної медичної допомоги,Điều phối viên cấp cứu y tế,急救医疗协调员
فني الخلايا,সাইটোটেকনিশিয়ান,Cytotechnician,Citotécnico(a),Cytotechnicien,साइटोटेक्नीशियन,細胞検査士,세포병리사,ਸਾਇਟੋਟੈਕਨੀਸ਼ੀਅਨ,Citotécnico(a),Цитотехник,Sitoteknisyen,Цитотехнік,Kỹ thuật viên tế bào học,细胞技术员
محلل بيانات صحية,স্বাস্থ্য তথ্য বিশ্লেষক,Health Data Analyst,Analista de Datos de Salud,Analyste de données de santé,स्वास्थ्य डेटा विश्लेषक,医療データアナリスト,보건의료 데이터 분석가,ਸਿਹਤ ਡਾਟਾ ਵਿਸ਼ਲੇਸ਼ਕ,Analista de Dados de Saúde,Аналитик медицинских данных,Sağlık Veri Analisti,Аналітик медичних даних,Chuyên viên phân tích dữ liệu y tế,健康数据分析师
طبيب أسنان,ডেন্টিস্ট,Dentist,Dentista,Dentiste,दाँतों का डॉक्टर,歯科医師,치과의사,ਦੰਦਾਂ ਦਾ ਡਾਕਟਰ,Dentista,Стоматолог,Diş Hekimi,Стоматолог,Bác sĩ nha khoa,牙科医生
طبيب أسنان الأطفال,পেডিয়াট্রিক ডেন্টিস্ট,Pediatric Dentist,Odontopediatra,Dentiste pédiatrique,बाल दंत चिकित्सक,小児歯科医,소아치과 의사,ਬੱਚਿਆਂ ਦਾ ਦੰਦਾਂ ਦਾ ਡਾਕਟਰ,Odontopediatra,Детский стоматолог,Pedodontist (Çocuk Diş Hekimi),Дитячий стоматолог,Bác sĩ nha khoa nhi,儿童牙科医生
أخصائي صناعة الأسنان,ডেন্টুরোলজিস্ট,Denturologist,Denturologista,Denturologiste,दंत रोग विशेषज्ञ,歯科技工士,치과기공사,ਡੈਂਚਰ ਮਾਹਿਰ,Denturologista,Стоматолог-ортопед,Diş Protez Uzmanı,Зубний технік-протезист (Дентуролог),Chuyên viên làm răng giả,义齿技师
أخصائي أمراض جلدية,ডার্মাটোপ্যাথোলজিস্ট,Dermatopathologist,Dermatopatólogo(a),Dermatopathologiste,त्वचा रोग विशेषज्ञ,皮膚病理専門医,피부병리 전문의,ਚਮੜੀ ਰੋਗ ਪੈਥੋਲੋਜਿਸਟ,Dermatopatologista,Дерматопатолог,Dermatopatolog,Дерматопатолог,Bác sĩ chuyên da liễu bệnh lý,皮肤病理学家
طبيب أمراض جلدية,ডার্মাটোলজিস্ট,Dermatologist,Dermatólogo(a),Dermatologue,त्वचा विशेषज्ञ,皮膚科医,피부과 전문의,ਚਮੜੀ ਦਾ ਮਾਹਿਰ,Dermatologista,Дерматолог,Dermatolog,Дерматолог,Bác sĩ da liễu,皮肤科医生
طبيب السكري,ডায়াবেটোলজিস্ট,Diabetologist,Diabetólogo(a),Diabétologue,मधुमेह चिकित्सक,糖尿病専門医,당뇨병 전문의,ਸ਼ੂਗਰ ਰੋਗ ਦਾ ਮਾਹਿਰ,Diabetologista,Диабетолог,Diyabetolog,Діабетолог,Bác sĩ chuyên tiểu đường,糖尿病专科医生
المدير الإداري والمالي,প্রশাসনিক ও আর্থিক পরিচালক,Administrative and Financial Director,Director(a) Administrativo(a) y Financiero(a),Directeur administratif et financier,प्रशासनिक एवं वित्तीय निदेशक,管理・財務部長,행정재무이사,ਪ੍ਰਸ਼ਾਸਨਿਕ ਅਤੇ ਵਿੱਤੀ ਨਿਰਦੇਸ਼ਕ,Diretor(a) Administrativo(a) e Financeiro(a),Административно-финансовый директор,İdari ve Mali İşler Müdürü,Адміністративний та фінансовий директор,Giám đốc hành chính và tài chính,行政财务总监
مدير دار التمريض,নার্সিং হোম ডিরেক্টর,Nursing Home Director,Director(a) de Residencia de Ancianos,Directeur de maison de retraite,नर्सिंग होम निदेशक,老人ホーム施設長,요양원 원장,ਨਰਸਿੰਗ ਹੋਮ ਦਾ ਨਿਰਦੇਸ਼ਕ,Diretor(a) de Casa de Repouso,Директор дома престарелых,Huzurevi Müdürü,Директор будинку для людей похилого віку,Giám đốc viện dưỡng lão,养老院院长
مدير المستشفى,হাসপাতাল পরিচালক,Hospital Director,Director(a) de Hospital,Directeur de l'hôpital,अस्पताल निदेशक,病院長,병원장,ਹਸਪਤਾਲ ਦਾ ਨਿਰਦੇਸ਼ਕ,Diretor(a) de Hospital,Директор больницы,Hastane Müdürü,Директор лікарні,Giám đốc bệnh viện,医院院长
مدير العيادة,ক্লিনিক পরিচালক,Clinic Director,Director(a) de Clínica,Directeur de la clinique,क्लिनिक निदेशक,クリニック院長,의원 원장,ਕਲੀਨਿਕ ਦਾ ਨਿਰਦੇਸ਼ਕ,Diretor(a) de Clínica,Директор клиники,Klinik Direktörü,Директор клініки,Giám đốc phòng khám,诊所主任
مدير التمريض,নার্সিং পরিচালক,Director of Nursing,Director(a) de Enfermería,Directrice des soins infirmiers,नर्सिंग निदेशक,看護部長,간호부장,ਨਰਸਿੰਗ ਦਾ ਨਿਰਦੇਸ਼ਕ,Diretor(a) de Enfermagem,Главная медсестра,Hemşirelik Hizmetleri Müdürü,Директор з медсестринства,Giám đốc điều dưỡng,护理部主任
المدير الطبي,মেডিকেল ডিরেক্টর,Medical Director,Director(a) Médico(a),Directeur médical,चिकित्सा निदेशक,医長,진료부장,ਮੈਡੀਕਲ ਨਿਰਦੇਸ਼ਕ,Diretor(a) Médico(a),Медицинский директор,Tıbbi Direktör,Медичний директор,Giám đốc y khoa,医务总监
مدير الجودة,কোয়ালিটি ডিরেক্টর,Quality Director,Director(a) de Calidad,Directeur de la qualité,गुणवत्ता निदेशक,品質管理部長,품질 관리자,ਗੁਣਵੱਤਾ ਨਿਰਦੇਸ਼ਕ,Diretor(a) de Qualidade,Директор по качеству,Kalite Direktörü,Директор з якості,Giám đốc chất lượng,质量总监
موزع طب المجتمع,কমিউনিটি মেডিসিন ডিস্ট্রিবিউটর,Community Medicine Distributor,Distribuidor(a) de Medicina Comunitaria,Distributeur de médicaments communautaires,सामुदायिक चिकित्सा वितरक,地域医療ディストリビューター,지역사회 의약품 유통 담당자,ਕਮਿਊਨਿਟੀ ਦਵਾਈ ਵਿਤਰਕ,Distribuidor(a) de Medicamentos Comunitários,Дистрибьютор лекарственных средств,Toplum Eczacılığı Distribütörü,Дистриб'ютор ліків для громади,Người phân phối thuốc y học cộng đồng,社区药品分销员
أخصائية تغذية,ডায়েটিশিয়ান,Dietitian,Dietista,Diététicien,आहार विशेषज्ञ,栄養士,영양사,ਖੁਰਾਕ ਮਾਹਿਰ,Dietista,Диетолог,Diyetisyen,Дієтолог,Chuyên gia dinh dưỡng,营养师
أخصائية تغذية رياضية,স্পোর্টস ডায়েটিশিয়ান,Sports Dietitian,Dietista Deportivo(a),Diététicienne sportive,खेल आहार विशेषज्ञ,スポーツ栄養士,스포츠 영양사,ਖੇਡ ਖੁਰਾਕ ਮਾਹਿਰ,Nutricionista Esportivo(a),Спортивный диетолог,Spor Diyetisyeni,Спортивний дієтолог,Chuyên gia dinh dưỡng thể thao,运动营养师
الدولا,ডুলা,Doula,Doula,Doula,दाई,ドゥーラ,둘라,ਡੂਲਾ,Doula,Доула,Doula,Доула,Người đỡ đẻ không chuyên,导乐
معالج بالدراما,ড্রামা থেরাপিস্ট,Drama Therapist,Dramaterapeuta,Thérapeute par le théâtre,ड्रामा थेरेपिस्ट,ドラマセラピスト,드라마 치료사,ਡਰਾਮਾ ਥੈਰੇਪਿਸਟ,Dramaterapeuta,Драматерапевт,Drama Terapisti,Драма-терапевт,Nhà trị liệu kịch nghệ,戏剧治疗师
مطور الصحة الإلكترونية,ই-হেলথ ডেভেলপার,E-Health Developer,Desarrollador(a) de E-Salud,Développeur e-santé,ई-स्वास्थ्य डेवलपर,eヘルス開発者,e-헬스 개발자,ਈ-ਸਿਹਤ ਵਿਕਾਸਕਾਰ,Desenvolvedor(a) de e-Saúde,Разработчик в сфере e-Health,E-Sağlık Geliştiricisi,Розробник у сфері e-Health,Lập trình viên y tế điện tử,电子健康开发工程师
طبيب الغدد الصماء,এন্ডোক্রিনোলজিস্ট,Endocrinologist,Endocrinólogo(a),Endocrinologue,एंडोक्राइनोलॉजिस्ट,内分泌専門医,내분비내과 전문의,ਐਂਡੋਕਰੀਨੋਲੋਜਿਸਟ,Endocrinologista,Эндокринолог,Endokrinoloji Uzmanı,Ендокринолог,Bác sĩ nội tiết,内分泌科医生
أخصائي علاج لب الأسنان,এন্ডোডন্টিস্ট,Endodontist,Endodoncista,Endodontiste,एंडोडोंटिस्ट,歯内療法専門医,치과보존과 전문의,ਐਂਡੋਡੌਨਟਿਸਟ,Endodontista,Эндодонтист,Endodonti Uzmanı,Ендодонтист,Bác sĩ nội nha chữa tủy răng,牙髓病医生
طبيب حشرات شرعي,ফরেনসিক কীটতত্ত্ববিদ,Forensic Entomologist,Entomólogo(a) Forense,Entomologiste judiciaire,फोरेंसिक कीट विज्ञानी,法昆虫学者,법의곤충학자,ਫੋਰੈਂਸਿਕ ਕੀਟ-ਵਿਗਿਆਨੀ,Entomologista Forense,Судебный энтомолог,Adli Entomolog,Судовий ентомолог,Nhà côn trùng học pháp y,法医昆虫学家
معالج مهني,অকুপেশনাল থেরাপিস্ট,Occupational Therapist,Terapeuta Ocupacional,Ergothérapeute,व्यावसायिक चिकित्सक,作業療法士,작업치료사,ਆਕੂਪੇਸ਼ਨਲ ਥੈਰੇਪਿਸਟ,Terapeuta Ocupacional,Эрготерапевт / Трудотерапевт,Ergoterapist,Ерготерапевт,Chuyên viên trị liệu nghề nghiệp,作业治疗师
ممرضة خاصة,প্রাইভেট নার্স,Private Nurse,Enfermero(a) Particular,Infirmière privée,निजी नर्स,プライベートナース,개인 간호사,ਨਿੱਜੀ ਨਰਸ,Enfermeiro(a) Particular,Частная медсестра,Özel Hemşire,Приватна медсестра,Y tá tư nhân,私人护士
طبيب الجهاز الهضمي,গ্যাস্ট্রোএন্টেরোলজিস্ট,Gastroenterologist,Gastroenterólogo(a),Gastro-entérologue,जठरांत्र चिकित्सक,消化器専門医,소화기내과 전문의,ਗੈਸਟਰੋਐਂਟਰੌਲੋਜਿਸਟ,Gastroenterologista,Гастроэнтеролог,Gastroenteroloji Uzmanı,Гастроентеролог,Bác sĩ tiêu hóa,消化内科医生
مدير إدارة المستشفى,হাসপাতাল প্রশাসনিক ব্যবস্থাপক,Hospital Administrative Manager,Gerente Administrativo(a) de Hospital,Responsable administratif de l'hôpital,अस्पताल प्रशासनिक प्रबंधक,病院管理マネージャー,병원 행정 관리자,ਹਸਪਤਾਲ ਦਾ ਪ੍ਰਬੰਧਕੀ ਮੈਨੇਜਰ,Gerente Administrativo(a) Hospitalar,Административный менеджер больницы,Hastane İdari Müdürü,Адміністративний менеджер лікарні,Quản lý hành chính bệnh viện,医院行政经理
مدير المواعيد,অ্যাপয়েন্টমেন্ট ম্যানেজার,Appointment Manager,Gerente de Citas,Gestionnaire de rendez-vous,नियुक्ति प्रबंधक,予約マネージャー,예약 관리자,ਮੁਲਾਕਾਤ ਮੈਨੇਜਰ,Gerente de Agendamentos,Менеджер по записи на приём,Randevu Yöneticisi,Менеджер із запису на прийом,Quản lý lịch hẹn khám,预约经理
مدير سجلات المرضى,রোগীর রেকর্ড ম্যানেজার,Patient Records Manager,Gerente de Expedientes de Pacientes,Gestionnaire des dossiers patients,रोगी रिकॉर्ड प्रबंधक,患者記録マネージャー,환자기록 관리자,ਮਰੀਜ਼ ਰਿਕਾਰਡ ਮੈਨੇਜਰ,Gerente de Prontuários de Pacientes,Менеджер по работе с картами пациентов,Hasta Kayıtları Yöneticisi,Менеджер медичних карт пацієнтів,Quản lý hồ sơ bệnh nhân,病历档案经理
مدير الدفع الزائد والدفع الناقص,ওভারপেমেন্ট এবং আন্ডারপেমেন্ট ম্যানেজার,Overpayment and Underpayment Manager,Gerente de Pagos Excesivos e Insuficientes,Gestionnaire des trop-payés et des sous-payés,अधिक भुगतान और कम भुगतान प्रबंधक,過払い・未払い管理マネージャー,과소납·과오납 관리자,ਵੱਧ-ਭੁਗਤਾਨ ਅਤੇ ਘੱਟ-ਭੁਗਤਾਨ ਮੈਨੇਜਰ,Gerente de Pagamentos a Maior e a Menor,Менеджер по переплатам и недоплатам,Fazla ve Eksik Ödeme Yöneticisi,Менеджер з переплат та недоплат,Quản lý khoản chi trả thừa và thiếu,支付款项核对经理
مدير السداد,প্রতিদান ব্যবস্থাপক,Reimbursement Manager,Gerente de Reembolsos,Responsable des remboursements,प्रतिपूर्ति प्रबंधक,払い戻しマネージャー,환급 관리자,ਮੁਆਵਜ਼ਾ ਮੈਨੇਜਰ,Gerente de Reembolsos,Менеджер по возмещению расходов,Geri Ödeme Yöneticisi,Менеджер з відшкодувань,Quản lý hoàn trả chi phí,报销经理
مدير الدفع التابع لجهة خارجية,তৃতীয় পক্ষের পেমেন্ট ম্যানেজার,Third-Party Payment Manager,Gerente de Pagos a Terceros,Gestionnaire de paiement tiers,तृतीय-पक्ष भुगतान प्रबंधक,第三者支払マネージャー,제3자 지불 관리자,ਤੀਜੀ-ਧਿਰ ਭੁਗਤਾਨ ਮੈਨੇਜਰ,Gerente de Pagamentos a Terceiros,Менеджер по платежам третьим лицам,Üçüncü Taraf Ödeme Yöneticisi,Менеджер зі сторонніх платежів,Quản lý thanh toán bên thứ ba,第三方支付经理
مدير مخزون الصيدلية,ফার্মেসি স্টক ম্যানেজার,Pharmacy Stock Manager,Gerente de Stock de Farmacia,Gestionnaire de stock de pharmacie,फार्मेसी स्टॉक मैनेजर,薬局在庫マネージャー,약국 재고 관리자,ਫਾਰਮੇਸੀ ਸਟਾਕ ਮੈਨੇਜਰ,Gerente de Estoque Farmacêutico,Менеджер аптечного склада,Eczane Stok Yöneticisi,Менеджер аптечного складу,Quản lý kho thuốc,药房库存经理
المعالج التقليدي,ঐতিহ্যবাহী নিরাময়কারী,Traditional Healer,Curandero(a) Tradicional,Guérisseur traditionnel,पारंपरिक चिकित्सक,伝統療法士,전통 치료사,ਰਵਾਇਤੀ ਇਲਾਜ ਕਰਨ ਵਾਲਾ,Curandeiro(a) Tradicional,Народный целитель,Geleneksel Şifacı,Народний цілитель,Lương y truyền thống,传统治疗师
طبيب نسائي,গাইনোকোলজিস্ট,Gynecologist,Ginecólogo(a),Gynécologue,प्रसूतिशास्री,婦人科医,산부인과 의사,ਗਾਇਨੀਕੋਲੋਜਿਸਟ,Ginecologista,Гинеколог,Jinekolog,Гінеколог,Bác sĩ phụ khoa,妇科医生
